customer_id,customer_name,is_member,points
C001,ลูกค้า 1,True,11
C002,ลูกค้า 2,False,0
C003,ลูกค้า 3,False,0
C004,ลูกค้า 4,False,0
C005,ลูกค้า 5,True,9
C006,ลูกค้า 6,False,0
C007,ลูกค้า 7,True,15
C008,ลูกค้า 8,False,0
C009,ลูกค้า 9,True,10
C010,ลูกค้า 10,False,0
C011,ลูกค้า 11,False,0
C012,ลูกค้า 12,False,0
C013,ลูกค้า 13,True,28
C014,ลูกค้า 14,False,0
C015,ลูกค้า 15,True,116
C016,ลูกค้า 16,True,10
C017,ลูกค้า 17,True,22
C018,ลูกค้า 18,True,21
C019,ลูกค้า 19,False,0
C020,ลูกค้า 20,False,0
C021,ลูกค้า 21,False,0
C022,ลูกค้า 22,False,0
C023,ลูกค้า 23,True,11
C024,ลูกค้า 24,False,0
C025,ลูกค้า 25,False,0
C026,ลูกค้า 26,True,17
C027,ลูกค้า 27,True,10
C028,ลูกค้า 28,False,0
C029,ลูกค้า 29,False,0
C030,ลูกค้า 30,True,29
C031,ลูกค้า 31,True,11
C032,ลูกค้า 32,True,40
C033,ลูกค้า 33,True,94
C034,ลูกค้า 34,True,96
C035,ลูกค้า 35,False,0
C036,ลูกค้า 36,True,55
C037,ลูกค้า 37,False,0
C038,ลูกค้า 38,True,16
C039,ลูกค้า 39,False,0
C040,ลูกค้า 40,False,0
C041,ลูกค้า 41,False,0
C042,ลูกค้า 42,False,0
C043,ลูกค้า 43,True,30
C044,ลูกค้า 44,True,34
C045,ลูกค้า 45,True,57
C046,ลูกค้า 46,True,12
C047,ลูกค้า 47,True,20
C048,ลูกค้า 48,True,17
C049,ลูกค้า 49,True,5
C050,ลูกค้า 50,False,0
